edu,weight,coding,indg,total,totalindg,indgratio,edu2,indg2
1,2442.72556,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,1503.52152,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,2606.27023,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
2,1443.9726,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,3348.40646,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,10442.28681,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1095.06655,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2782.23884,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,3395.19352,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,2984.39629,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,9179.94399,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
1,423.84079,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
2,1879.02243,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
3,6838.95943,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
3,1325.33807,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
2,1808.4056,1,2,1929813.41343,439362.79085,22.7671124986684,College Diploma / Cert.,Non-Indigenous Peoples
1,4866.06692,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
1,4629.35663,1,2,1929813.41343,287167.22735,14.8805695592921,High School or Less,Non-Indigenous Peoples
3,2374.43811,1,2,1929813.41343,1203283.39523,62.3523179420396,Bachelors or more,Non-Indigenous Peoples
