skill,value,date,date2
html,468,Jan-22,2022-01-01
html,746,Feb-22,2022-02-01
html,704,Mar-22,2022-03-01
html,534,Apr-22,2022-04-01
html,496,May-22,2022-05-01
html,508,Jun-22,2022-06-01
html,401,Jul-22,2022-07-01
html,307,Aug-22,2022-08-01
html,357,Sep-22,2022-09-01
html,291,Oct-22,2022-10-01
html,372,Nov-22,2022-11-01
html,247,Dec-22,2022-12-01
jquery,154,Jan-22,2022-01-01
jquery,100,Feb-22,2022-02-01
jquery,91,Mar-22,2022-03-01
jquery,134,Apr-22,2022-04-01
jquery,95,May-22,2022-05-01
jquery,142,Jun-22,2022-06-01
jquery,95,Jul-22,2022-07-01
jquery,71,Aug-22,2022-08-01
jquery,107,Sep-22,2022-09-01
jquery,42,Oct-22,2022-10-01
jquery,57,Nov-22,2022-11-01
jquery,36,Dec-22,2022-12-01
css,436,Jan-22,2022-01-01
css,397,Feb-22,2022-02-01
css,387,Mar-22,2022-03-01
css,2359,Apr-22,2022-04-01
css,2240,May-22,2022-05-01
css,2163,Jun-22,2022-06-01
css,1719,Jul-22,2022-07-01
css,1481,Aug-22,2022-08-01
css,1073,Sep-22,2022-09-01
css,1186,Oct-22,2022-10-01
css,1235,Nov-22,2022-11-01
css,820,Dec-22,2022-12-01
javascript,947,Jan-22,2022-01-01
javascript,923,Feb-22,2022-02-01
javascript,649,Mar-22,2022-03-01
javascript,832,Apr-22,2022-04-01
javascript,790,May-22,2022-05-01
javascript,774,Jun-22,2022-06-01
javascript,667,Jul-22,2022-07-01
javascript,503,Aug-22,2022-08-01
javascript,527,Sep-22,2022-09-01
javascript,480,Oct-22,2022-10-01
javascript,495,Nov-22,2022-11-01
javascript,321,Dec-22,2022-12-01
ruby,104,Jan-22,2022-01-01
ruby,99,Feb-22,2022-02-01
ruby,92,Mar-22,2022-03-01
ruby,75,Apr-22,2022-04-01
ruby,58,May-22,2022-05-01
ruby,67,Jun-22,2022-06-01
ruby,40,Jul-22,2022-07-01
ruby,123,Aug-22,2022-08-01
ruby,44,Sep-22,2022-09-01
ruby,31,Oct-22,2022-10-01
ruby,0,Nov-22,2022-11-01
ruby,0,Dec-22,2022-12-01
web development,100,Jan-22,2022-01-01
web development,105,Feb-22,2022-02-01
web development,86,Mar-22,2022-03-01
web development,176,Apr-22,2022-04-01
web development,120,May-22,2022-05-01
web development,116,Jun-22,2022-06-01
web development,154,Jul-22,2022-07-01
web development,87,Aug-22,2022-08-01
web development,71,Sep-22,2022-09-01
web development,101,Oct-22,2022-10-01
web development,108,Nov-22,2022-11-01
web development,61,Dec-22,2022-12-01
user interface design,1051,Jan-22,2022-01-01
user interface design,496,Feb-22,2022-02-01
user interface design,455,Mar-22,2022-03-01
user interface design,467,Apr-22,2022-04-01
user interface design,428,May-22,2022-05-01
user interface design,508,Jun-22,2022-06-01
user interface design,400,Jul-22,2022-07-01
user interface design,374,Aug-22,2022-08-01
user interface design,308,Sep-22,2022-09-01
user interface design,251,Oct-22,2022-10-01
user interface design,336,Nov-22,2022-11-01
user interface design,241,Dec-22,2022-12-01
