occtotal,occtotal2,title,rank,Occupation
10008,10008,Computer programmers and interactive media developers,1,"Computer programmers and
interactive media developers"
7027,7027,Software engineers and designers,2,"Software engineers and
designers"
6675,6675,Information systems analysts and consultants,3,"Information systems analysts
and consultants"
2749,2749,Web designers and developers,4,Web designers and developers
2573,2573,Database analysts and data administrators,5,"Database analysts and data
administrators"
1171,1171,Computer network technicians,7,Computer network technicians
2004,2004,Landscape and horticulture technicians and specialists,6,"Landscape and horticulture
technicians and specialists"
1044,1044,User support technicians,8,User support technicians
962,962,Drafting technologists and technicians,9,"Drafting technologists and
technicians"
796,796,Electrical and electronics engineering technologists and technicians,10,"Electrical and electronics
engineering technologists and
technicians"
