date,indg,age,sex,"Professional, scientific and technical services [54]",All other service sectors,ratio,indg2
2007,Indigenous population,15 to 24 years,Both sexes,1.5,62,2.41935483870968,Indigenous Peoples
2007,Non-Indigenous population,15 to 24 years,Both sexes,95.0999999999999,2021.2,4.70512566792004,Non-Indigenous Peoples
2008,Indigenous population,15 to 24 years,Both sexes,1.6,67.7,2.36336779911374,Indigenous Peoples
2008,Non-Indigenous population,15 to 24 years,Both sexes,92.8,2029.5,4.57255481645726,Non-Indigenous Peoples
2009,Indigenous population,15 to 24 years,Both sexes,1.6,61.5,2.60162601626016,Indigenous Peoples
2009,Non-Indigenous population,15 to 24 years,Both sexes,90.3,1940.6,4.65320004122436,Non-Indigenous Peoples
2010,Indigenous population,15 to 24 years,Both sexes,1.2,66.2,1.81268882175226,Indigenous Peoples
2010,Non-Indigenous population,15 to 24 years,Both sexes,86.5999999999999,1939.3,4.4655287990512,Non-Indigenous Peoples
2011,Indigenous population,15 to 24 years,Both sexes,1.6,74.6,2.14477211796247,Indigenous Peoples
2011,Non-Indigenous population,15 to 24 years,Both sexes,88,1944,4.52674897119342,Non-Indigenous Peoples
2012,Indigenous population,15 to 24 years,Both sexes,1.8,71.2,2.52808988764045,Indigenous Peoples
2012,Non-Indigenous population,15 to 24 years,Both sexes,82.7000000000001,1927.9,4.28964157892007,Non-Indigenous Peoples
2013,Indigenous population,15 to 24 years,Both sexes,1.8,78.5,2.29299363057325,Indigenous Peoples
2013,Non-Indigenous population,15 to 24 years,Both sexes,101.2,1935.6,5.22835296548874,Non-Indigenous Peoples
2014,Indigenous population,15 to 24 years,Both sexes,2.1,84.9,2.47349823321555,Indigenous Peoples
2014,Non-Indigenous population,15 to 24 years,Both sexes,87,1925.7,4.51783766941891,Non-Indigenous Peoples
2015,Indigenous population,15 to 24 years,Both sexes,1.3,86.2,1.50812064965197,Indigenous Peoples
2015,Non-Indigenous population,15 to 24 years,Both sexes,100,1907.9,5.2413648514073,Non-Indigenous Peoples
2016,Indigenous population,15 to 24 years,Both sexes,1.3,88.1,1.47559591373439,Indigenous Peoples
2016,Non-Indigenous population,15 to 24 years,Both sexes,88.7000000000001,1909.5,4.64519507724535,Non-Indigenous Peoples
2017,Indigenous population,15 to 24 years,Both sexes,1.5,91.5,1.63934426229508,Indigenous Peoples
2017,Non-Indigenous population,15 to 24 years,Both sexes,88.3,1963.4,4.49730060099826,Non-Indigenous Peoples
2018,Indigenous population,15 to 24 years,Both sexes,2.9,95.2,3.04621848739496,Indigenous Peoples
2018,Non-Indigenous population,15 to 24 years,Both sexes,100,1967,5.08388408744281,Non-Indigenous Peoples
2019,Indigenous population,15 to 24 years,Both sexes,2.5,100,2.5,Indigenous Peoples
2019,Non-Indigenous population,15 to 24 years,Both sexes,119.3,2021.6,5.90126632370401,Non-Indigenous Peoples
2020,Indigenous population,15 to 24 years,Both sexes,2.9,87.3,3.32187857961054,Indigenous Peoples
2020,Non-Indigenous population,15 to 24 years,Both sexes,103.3,1687.6,6.1211187485186,Non-Indigenous Peoples
2021,Indigenous population,15 to 24 years,Both sexes,2.2,99.7,2.20661985957873,Indigenous Peoples
2021,Non-Indigenous population,15 to 24 years,Both sexes,125,1859.3,6.72296025385898,Non-Indigenous Peoples
2022,Indigenous population,15 to 24 years,Both sexes,3,119.4,2.51256281407035,Indigenous Peoples
2022,Non-Indigenous population,15 to 24 years,Both sexes,126.3,1987.9,6.35343830172543,Non-Indigenous Peoples
