date,indg,noc,sex,age,value,index,indg2
2007,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.8,100,Indigenous Peoples
2007,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,85.5999999999999,100,Non-Indigenous Peoples
2008,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.4,77.7777777777777,Indigenous Peoples
2008,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,86.8,101.401869158879,Non-Indigenous Peoples
2009,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.6,88.8888888888888,Indigenous Peoples
2009,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,82.4000000000001,96.2616822429909,Non-Indigenous Peoples
2010,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.8,100,Indigenous Peoples
2010,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,86.9000000000001,101.518691588785,Non-Indigenous Peoples
2011,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.4,77.7777777777778,Indigenous Peoples
2011,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,78.9000000000001,92.1728971962619,Non-Indigenous Peoples
2012,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.6,88.8888888888889,Indigenous Peoples
2012,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,76.8,89.7196261682243,Non-Indigenous Peoples
2013,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2.4,133.333333333333,Indigenous Peoples
2013,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,82.7000000000001,96.6121495327104,Non-Indigenous Peoples
2014,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.9,105.555555555556,Indigenous Peoples
2014,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,78.9000000000001,92.1728971962619,Non-Indigenous Peoples
2015,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.3,72.2222222222222,Indigenous Peoples
2015,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,91,106.308411214953,Non-Indigenous Peoples
2016,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,1.6,88.8888888888889,Indigenous Peoples
2016,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,76.9000000000001,89.836448598131,Non-Indigenous Peoples
2017,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2,111.111111111111,Indigenous Peoples
2017,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,92.8,108.411214953271,Non-Indigenous Peoples
2018,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2.6,144.444444444444,Indigenous Peoples
2018,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,99.3,116.004672897196,Non-Indigenous Peoples
2019,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2.9,161.111111111111,Indigenous Peoples
2019,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,113,132.009345794393,Non-Indigenous Peoples
2020,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2.3,127.777777777778,Indigenous Peoples
2020,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,96.3,112.5,Non-Indigenous Peoples
2021,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,2.4,133.333333333333,Indigenous Peoples
2021,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,117.2,136.915887850468,Non-Indigenous Peoples
2022,Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,3.1,172.222222222222,Indigenous Peoples
2022,Non-Indigenous population,"Natural and applied sciences and related occupations, except management [21-22]",Both sexes,15 to 24 years,126.2,147.429906542056,Non-Indigenous Peoples
