indg2,incratio2,quintinc2,quintinc,labels_quintinc
Non-indigenous Peoples,25.31914773146,">= $ 162,800",5,">= $ 162,800"
Non-indigenous Peoples,15.9864243531772,"$ 44,120- $ 75,321",2,"$ 44,120- $ 75,321"
Non-indigenous Peoples,19.5133455939509,"$ 109,432 - $ 162,799",4,"$ 109,432 - $ 162,799"
Non-indigenous Peoples,22.2240879401718,"$ 75,322 - $ 109,431",3,"$ 75,322 - $ 109,431"
Non-indigenous Peoples,16.9569943812401,"<= $ 44,119",1,"<= $ 44,119"
Indigenous Peoples,29.4219956898459,"<= $ 44,119",1,"<= $ 44,119"
Indigenous Peoples,4.848627640052,"$ 75,322 - $ 109,431",3,"$ 75,322 - $ 109,431"
Indigenous Peoples,51.6756926551143,">= $ 162,800",5,">= $ 162,800"
Indigenous Peoples,4.52765962249162,"$ 109,432 - $ 162,799",4,"$ 109,432 - $ 162,799"
Indigenous Peoples,9.52602439249621,"$ 44,120- $ 75,321",2,"$ 44,120- $ 75,321"
